sample  unit    population  platform    fq1 fq2
Picarus_H8  Lane1   Sweden-Havang   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498593_1.fq /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498593_2.fq
Picarus_H9  Lane1   Sweden-Havang   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498642_1.fq /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498642_2.fq
Picarus_T1  Lane1   Sweden-Tvedora  ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498653_1.fq /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498653_2.fq
Picarus_T2  Lane1   Sweden-Tvedora  ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498654_1.fq /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498654_2.fq
Picarus_T3  Lane1   Sweden-Tvedora  ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498655_1.fq /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498655_2.fq
Picarus_T4  Lane1   Sweden-Tvedora  ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498656_1.fq /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498656_2.fq
Picarus_T5  Lane1   Sweden-Tvedora  ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498657_1.fq /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498657_2.fq
Picarus_T6  Lane1   Sweden-Tvedora  ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498658_1.fq /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498658_2.fq
Picarus_T7  Lane1   Sweden-Tvedora  ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498660_1.fq /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498660_2.fq
Picarus_T8  Lane1   Sweden-Tvedora  ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498661_1.fq /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498661_2.fq
Picarus_T9  Lane1   Sweden-Tvedora  ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498662_1.fq /lunarc/nobackup/projects/lepeu-lisbon/data/fastq/SRR29498662_2.fq
